Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
Northumberland County,97,4,42,4204000097,PA,2020,3,6,"June, 2020",1,41900,36700,5200,12.3,,,20200306,3202006,610,No,0
Perry County,99,4,42,4204000099,PA,2020,3,6,"June, 2020",1,23500,21300,2200,9.5,,,20200306,3202006,611,No,0
Philadelphia County,101,4,42,4204000101,PA,2020,3,6,"June, 2020",1,743900,608400,135400,18.2,,,20200306,3202006,612,No,0
Pike County,103,4,42,4204000103,PA,2020,3,6,"June, 2020",1,25000,21000,3900,15.7,,,20200306,3202006,613,No,0
Potter County,105,4,42,4204000105,PA,2020,3,6,"June, 2020",1,7100,6300,800,11.5,,,20200306,3202006,614,No,0
Schuylkill County,107,4,42,4204000107,PA,2020,3,6,"June, 2020",1,66100,57700,8400,12.6,,,20200306,3202006,615,No,0
Snyder County,109,4,42,4204000109,PA,2020,3,6,"June, 2020",1,19300,17500,1800,9.3,,,20200306,3202006,616,No,0
Somerset County,111,4,42,4204000111,PA,2020,3,6,"June, 2020",1,32400,28400,4000,12.4,,,20200306,3202006,617,No,0
Sullivan County,113,4,42,4204000113,PA,2020,3,6,"June, 2020",1,2600,2300,300,10.6,,,20200306,3202006,618,No,0
Susquehanna County,115,4,42,4204000115,PA,2020,3,6,"June, 2020",1,19400,17500,1900,9.9,,,20200306,3202006,619,No,0
Tioga County,117,4,42,4204000117,PA,2020,3,6,"June, 2020",1,19000,16600,2300,12.3,,,20200306,3202006,620,No,0
Union County,119,4,42,4204000119,PA,2020,3,6,"June, 2020",1,19000,17200,1700,9.1,,,20200306,3202006,621,No,0
Venango County,121,4,42,4204000121,PA,2020,3,6,"June, 2020",1,22200,19700,2400,11,,,20200306,3202006,622,No,0
Warren County,123,4,42,4204000123,PA,2020,3,6,"June, 2020",1,18500,16500,2000,10.6,,,20200306,3202006,623,No,0
Washington County,125,4,42,4204000125,PA,2020,3,6,"June, 2020",1,105600,92300,13300,12.6,,,20200306,3202006,624,No,0
Wayne County,127,4,42,4204000127,PA,2020,3,6,"June, 2020",1,22300,19500,2900,12.9,,,20200306,3202006,625,No,0
Westmoreland County,129,4,42,4204000129,PA,2020,3,6,"June, 2020",1,177100,155900,21200,12,,,20200306,3202006,626,No,0
Wyoming County,131,4,42,4204000131,PA,2020,3,6,"June, 2020",1,13100,11600,1500,11.5,,,20200306,3202006,627,No,0
York County,133,4,42,4204000133,PA,2020,3,6,"June, 2020",1,231500,205700,25800,11.1,,,20200306,3202006,628,No,0
Berks County WDA,1,15,42,4215000001,PA,2020,3,6,"June, 2020",1,212400,183200,29200,13.7,,,20200306,3202006,629,No,0
Bucks County WDA,2,15,42,4215000002,PA,2020,3,6,"June, 2020",1,339000,295200,43800,12.9,,,20200306,3202006,630,No,0
Central WDA,3,15,42,4215000003,PA,2020,3,6,"June, 2020",1,294100,264700,29300,10,,,20200306,3202006,631,No,0
Chester County WDA,4,15,42,4215000004,PA,2020,3,6,"June, 2020",1,274500,247100,27400,10,,,20200306,3202006,632,No,0
Delaware County WDA,5,15,42,4215000005,PA,2020,3,6,"June, 2020",1,295200,253600,41600,14.1,,,20200306,3202006,633,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2020,3,6,"June, 2020",1,104500,90100,14500,13.9,,,20200306,3202006,634,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2020,3,6,"June, 2020",1,278600,245800,32800,11.8,,,20200306,3202006,635,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2020,3,6,"June, 2020",1,350400,300200,50200,14.3,,,20200306,3202006,636,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2020,3,6,"June, 2020",1,225100,192300,32900,14.6,,,20200306,3202006,637,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2020,3,6,"June, 2020",1,444900,392100,52800,11.9,,,20200306,3202006,638,No,0
North Central WDA,11,15,42,4215000011,PA,2020,3,6,"June, 2020",1,81900,72100,9900,12,,,20200306,3202006,639,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2020,3,6,"June, 2020",1,81900,73100,8800,10.7,,,20200306,3202006,640,No,0
Northwest WDA,13,15,42,4215000013,PA,2020,3,6,"June, 2020",1,223500,194800,28700,12.8,,,20200306,3202006,641,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2020,3,6,"June, 2020",1,743900,608400,135400,18.2,,,20200306,3202006,642,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2020,3,6,"June, 2020",1,159500,133900,25700,16.1,,,20200306,3202006,643,No,0
South Central WDA,16,15,42,4215000016,PA,2020,3,6,"June, 2020",1,745700,661000,84600,11.4,,,20200306,3202006,644,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2020,3,6,"June, 2020",1,197600,173100,24400,12.4,,,20200306,3202006,645,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2020,3,6,"June, 2020",1,205600,178300,27300,13.3,,,20200306,3202006,646,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2020,3,6,"June, 2020",1,640800,561500,79300,12.4,,,20200306,3202006,647,No,0
Tri-County WDA,20,15,42,4215000020,PA,2020,3,6,"June, 2020",1,165900,147500,18400,11.1,,,20200306,3202006,648,No,0
West Central WDA,21,15,42,4215000021,PA,2020,3,6,"June, 2020",1,88800,77300,11500,12.9,,,20200306,3202006,649,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2020,3,6,"June, 2020",1,233900,204100,29800,12.7,,,20200306,3202006,650,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2020,3,6,"June, 2020",1,438100,375900,62200,14.2,,,20200306,3202006,651,No,0
"Altoona, PA MSA",11020,31,42,4231011020,PA,2020,3,6,"June, 2020",1,59000,52200,6900,11.6,,,20200306,3202006,652,No,0
"Bloomsburg-Berwick, PA MSA",14100,31,42,4231014100,PA,2020,3,6,"June, 2020",1,42600,38400,4200,9.8,,,20200306,3202006,653,No,0
"Chambersburg-Waynesboro, PA MSA",16540,31,42,4231016540,PA,2020,3,6,"June, 2020",1,77500,68700,8800,11.4,,,20200306,3202006,654,No,0
"East Stroudsburg, PA MSA",20700,31,42,4231020700,PA,2020,3,6,"June, 2020",1,82300,67500,14800,18,,,20200306,3202006,655,No,0
"Erie, PA MSA",21500,31,42,4231021500,PA,2020,3,6,"June, 2020",1,125600,107900,17800,14.2,,,20200306,3202006,656,No,0
"Gettysburg, PA MSA",23900,31,42,4231023900,PA,2020,3,6,"June, 2020",1,53300,47900,5400,10.1,,,20200306,3202006,657,No,0
"Harrisburg-Carlisle, PA MSA",25420,31,42,4231025420,PA,2020,3,6,"June, 2020",1,296500,261900,34600,11.7,,,20200306,3202006,658,No,0
"Johnstown, PA MSA",27780,31,42,4231027780,PA,2020,3,6,"June, 2020",1,56500,49700,6800,12,,,20200306,3202006,659,No,0
"Lancaster, PA MSA",29540,31,42,4231029540,PA,2020,3,6,"June, 2020",1,278600,245800,32800,11.8,,,20200306,3202006,660,No,0
"Lebanon, PA MSA",30140,31,42,4231030140,PA,2020,3,6,"June, 2020",1,71800,63200,8600,11.9,,,20200306,3202006,661,No,0
"Montgomery-Bucks-Chester, PA Metro Division",33874,31,42,4231033874,PA,2020,3,6,"June, 2020",1,1059900,936200,123800,11.7,,,20200306,3202006,662,No,0
"Philadelphia, PA Metro Division",37964,31,42,4231037964,PA,2020,3,6,"June, 2020",1,1042600,864100,178500,17.1,,,20200306,3202006,663,No,0
"Philadelphia, PA MSA - PA Part",37965,31,42,4231037965,PA,2020,3,6,"June, 2020",1,2095900,1794200,301700,14.4,,,20200306,3202006,664,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",37980,31,42,4231037980,PA,2020,3,6,"June, 2020",1,3110200,2669600,440700,14.2,,,20200306,3202006,665,No,0
"Pittsburgh, PA MSA",38300,31,42,4231038300,PA,2020,3,6,"June, 2020",1,1186600,1039800,146900,12.4,,,20200306,3202006,666,No,0
"Reading, PA MSA",39740,31,42,4231039740,PA,2020,3,6,"June, 2020",1,212400,183200,29200,13.7,,,20200306,3202006,667,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,31,42,4231042540,PA,2020,3,6,"June, 2020",1,276600,235900,40700,14.7,,,20200306,3202006,668,No,0
"State College, PA MSA",44300,31,42,4231044300,PA,2020,3,6,"June, 2020",1,76400,70300,6000,7.9,,,20200306,3202006,669,No,0
"Williamsport, PA MSA",48700,31,42,4231048700,PA,2020,3,6,"June, 2020",1,56300,49900,6400,11.4,,,20200306,3202006,670,No,0
"York-Hanover, PA MSA",49620,31,42,4231049620,PA,2020,3,6,"June, 2020",1,231500,205700,25800,11.1,,,20200306,3202006,671,No,0
United States,0,0,0,0,US,2020,3,7,"July, 2020",1,160085000,143777000,16308000,10.2,61.5,55.2,20200307,3202007,672,No,0
Pennsylvania,0,1,42,4201000000,PA,2020,3,7,"July, 2020",1,6432000,5593000,839000,13,62.6,54.4,20200307,3202007,673,No,0
Adams County,1,4,42,4204000001,PA,2020,3,7,"July, 2020",1,54300,49200,5100,9.3,,,20200307,3202007,674,No,0
Allegheny County,3,4,42,4204000003,PA,2020,3,7,"July, 2020",1,645000,557200,87800,13.6,,,20200307,3202007,675,No,0
Armstrong County,5,4,42,4204000005,PA,2020,3,7,"July, 2020",1,31500,27300,4300,13.5,,,20200307,3202007,676,No,0
Beaver County,7,4,42,4204000007,PA,2020,3,7,"July, 2020",1,84100,71600,12500,14.8,,,20200307,3202007,677,No,0
Bedford County,9,4,42,4204000009,PA,2020,3,7,"July, 2020",1,23300,20300,3000,13,,,20200307,3202007,678,No,0
Berks County,11,4,42,4204000011,PA,2020,3,7,"July, 2020",1,214100,185500,28600,13.3,,,20200307,3202007,679,No,0
Blair County,13,4,42,4204000013,PA,2020,3,7,"July, 2020",1,59400,52300,7200,12.1,,,20200307,3202007,680,No,0
Bradford County,15,4,42,4204000015,PA,2020,3,7,"July, 2020",1,28100,25100,2900,10.5,,,20200307,3202007,681,No,0
Bucks County,17,4,42,4204000017,PA,2020,3,7,"July, 2020",1,340600,299600,40900,12,,,20200307,3202007,682,No,0
Butler County,19,4,42,4204000019,PA,2020,3,7,"July, 2020",1,96400,85900,10600,10.9,,,20200307,3202007,683,No,0
Cambria County,21,4,42,4204000021,PA,2020,3,7,"July, 2020",1,56600,49300,7300,12.8,,,20200307,3202007,684,No,0
Cameron County,23,4,42,4204000023,PA,2020,3,7,"July, 2020",1,2000,1700,300,16.9,,,20200307,3202007,685,No,0
Carbon County,25,4,42,4204000025,PA,2020,3,7,"July, 2020",1,31600,27400,4200,13.3,,,20200307,3202007,686,No,0
Centre County,27,4,42,4204000027,PA,2020,3,7,"July, 2020",1,76600,70400,6200,8.1,,,20200307,3202007,687,No,0
Chester County,29,4,42,4204000029,PA,2020,3,7,"July, 2020",1,277000,250800,26100,9.4,,,20200307,3202007,688,No,0
Clarion County,31,4,42,4204000031,PA,2020,3,7,"July, 2020",1,17000,15200,1800,10.5,,,20200307,3202007,689,No,0
Clearfield County,33,4,42,4204000033,PA,2020,3,7,"July, 2020",1,36100,31600,4500,12.4,,,20200307,3202007,690,No,0
Clinton County,35,4,42,4204000035,PA,2020,3,7,"July, 2020",1,17800,15800,2000,11.2,,,20200307,3202007,691,No,0
Columbia County,37,4,42,4204000037,PA,2020,3,7,"July, 2020",1,33600,30000,3500,10.5,,,20200307,3202007,692,No,0
Crawford County,39,4,42,4204000039,PA,2020,3,7,"July, 2020",1,38500,33900,4600,12,,,20200307,3202007,693,No,0
Cumberland County,41,4,42,4204000041,PA,2020,3,7,"July, 2020",1,129800,117400,12400,9.5,,,20200307,3202007,694,No,0
Dauphin County,43,4,42,4204000043,PA,2020,3,7,"July, 2020",1,145600,126900,18700,12.8,,,20200307,3202007,695,No,0
Delaware County,45,4,42,4204000045,PA,2020,3,7,"July, 2020",1,298700,257700,41000,13.7,,,20200307,3202007,696,No,0
Elk County,47,4,42,4204000047,PA,2020,3,7,"July, 2020",1,15400,12800,2600,16.6,,,20200307,3202007,697,No,0
Erie County,49,4,42,4204000049,PA,2020,3,7,"July, 2020",1,127900,110400,17500,13.7,,,20200307,3202007,698,No,0
Fayette County,51,4,42,4204000051,PA,2020,3,7,"July, 2020",1,57100,47800,9200,16.2,,,20200307,3202007,699,No,0
Forest County,53,4,42,4204000053,PA,2020,3,7,"July, 2020",1,1800,1500,300,14.2,,,20200307,3202007,700,No,0
Franklin County,55,4,42,4204000055,PA,2020,3,7,"July, 2020",1,77900,69400,8500,10.9,,,20200307,3202007,701,No,0
Fulton County,57,4,42,4204000057,PA,2020,3,7,"July, 2020",1,7600,6100,1500,19.7,,,20200307,3202007,702,No,0
Greene County,59,4,42,4204000059,PA,2020,3,7,"July, 2020",1,15900,13600,2300,14.4,,,20200307,3202007,703,No,0
Huntingdon County,61,4,42,4204000061,PA,2020,3,7,"July, 2020",1,20100,17100,3000,15.1,,,20200307,3202007,704,No,0
Indiana County,63,4,42,4204000063,PA,2020,3,7,"July, 2020",1,38100,33300,4800,12.7,,,20200307,3202007,705,No,0
Jefferson County,65,4,42,4204000065,PA,2020,3,7,"July, 2020",1,20200,17800,2400,12,,,20200307,3202007,706,No,0
Juniata County,67,4,42,4204000067,PA,2020,3,7,"July, 2020",1,12400,11400,1100,8.5,,,20200307,3202007,707,No,0
Lackawanna County,69,4,42,4204000069,PA,2020,3,7,"July, 2020",1,104500,90800,13700,13.1,,,20200307,3202007,708,No,0
Lancaster County,71,4,42,4204000071,PA,2020,3,7,"July, 2020",1,282000,252100,30000,10.6,,,20200307,3202007,709,No,0
Lawrence County,73,4,42,4204000073,PA,2020,3,7,"July, 2020",1,40800,35100,5600,13.8,,,20200307,3202007,710,No,0
Lebanon County,75,4,42,4204000075,PA,2020,3,7,"July, 2020",1,72300,64200,8100,11.1,,,20200307,3202007,711,No,0
Lehigh County,77,4,42,4204000077,PA,2020,3,7,"July, 2020",1,193200,166700,26500,13.7,,,20200307,3202007,712,No,0
Luzerne County,79,4,42,4204000079,PA,2020,3,7,"July, 2020",1,159200,135700,23500,14.8,,,20200307,3202007,713,No,0
Lycoming County,81,4,42,4204000081,PA,2020,3,7,"July, 2020",1,55700,49200,6500,11.7,,,20200307,3202007,714,No,0
McKean County,83,4,42,4204000083,PA,2020,3,7,"July, 2020",1,17100,14900,2200,13,,,20200307,3202007,715,No,0
Mercer County,85,4,42,4204000085,PA,2020,3,7,"July, 2020",1,48500,42200,6300,12.9,,,20200307,3202007,716,No,0
Mifflin County,87,4,42,4204000087,PA,2020,3,7,"July, 2020",1,21300,18900,2400,11.2,,,20200307,3202007,717,No,0
Monroe County,89,4,42,4204000089,PA,2020,3,7,"July, 2020",1,82200,69000,13200,16.1,,,20200307,3202007,718,No,0
Montgomery County,91,4,42,4204000091,PA,2020,3,7,"July, 2020",1,447900,397800,50100,11.2,,,20200307,3202007,719,No,0
Montour County,93,4,42,4204000093,PA,2020,3,7,"July, 2020",1,9000,8300,700,7.9,,,20200307,3202007,720,No,0
Northampton County,95,4,42,4204000095,PA,2020,3,7,"July, 2020",1,159800,139300,20500,12.8,,,20200307,3202007,721,No,0
Northumberland County,97,4,42,4204000097,PA,2020,3,7,"July, 2020",1,42600,37300,5300,12.3,,,20200307,3202007,722,No,0
Perry County,99,4,42,4204000099,PA,2020,3,7,"July, 2020",1,23700,21500,2200,9.2,,,20200307,3202007,723,No,0
Philadelphia County,101,4,42,4204000101,PA,2020,3,7,"July, 2020",1,746900,607500,139400,18.7,,,20200307,3202007,724,No,0
Pike County,103,4,42,4204000103,PA,2020,3,7,"July, 2020",1,24800,21000,3700,15,,,20200307,3202007,725,No,0
Potter County,105,4,42,4204000105,PA,2020,3,7,"July, 2020",1,7200,6300,900,12.1,,,20200307,3202007,726,No,0
Schuylkill County,107,4,42,4204000107,PA,2020,3,7,"July, 2020",1,66400,58000,8400,12.6,,,20200307,3202007,727,No,0
Snyder County,109,4,42,4204000109,PA,2020,3,7,"July, 2020",1,19700,17900,1800,9.1,,,20200307,3202007,728,No,0
Somerset County,111,4,42,4204000111,PA,2020,3,7,"July, 2020",1,32700,28600,4100,12.5,,,20200307,3202007,729,No,0
Sullivan County,113,4,42,4204000113,PA,2020,3,7,"July, 2020",1,2600,2300,300,12.1,,,20200307,3202007,730,No,0
Susquehanna County,115,4,42,4204000115,PA,2020,3,7,"July, 2020",1,19400,17500,1900,9.9,,,20200307,3202007,731,No,0
Tioga County,117,4,42,4204000117,PA,2020,3,7,"July, 2020",1,19000,16600,2400,12.5,,,20200307,3202007,732,No,0
Union County,119,4,42,4204000119,PA,2020,3,7,"July, 2020",1,19500,17700,1800,9.1,,,20200307,3202007,733,No,0
Venango County,121,4,42,4204000121,PA,2020,3,7,"July, 2020",1,22000,19400,2700,12.1,,,20200307,3202007,734,No,0
Warren County,123,4,42,4204000123,PA,2020,3,7,"July, 2020",1,18500,16400,2100,11.3,,,20200307,3202007,735,No,0
Washington County,125,4,42,4204000125,PA,2020,3,7,"July, 2020",1,105700,91700,14100,13.3,,,20200307,3202007,736,No,0
Wayne County,127,4,42,4204000127,PA,2020,3,7,"July, 2020",1,21400,18700,2800,13,,,20200307,3202007,737,No,0
Westmoreland County,129,4,42,4204000129,PA,2020,3,7,"July, 2020",1,177000,154600,22400,12.6,,,20200307,3202007,738,No,0
Wyoming County,131,4,42,4204000131,PA,2020,3,7,"July, 2020",1,13200,11700,1500,11.2,,,20200307,3202007,739,No,0
York County,133,4,42,4204000133,PA,2020,3,7,"July, 2020",1,233600,207900,25700,11,,,20200307,3202007,740,No,0
Berks County WDA,1,15,42,4215000001,PA,2020,3,7,"July, 2020",1,214100,185500,28600,13.3,,,20200307,3202007,741,No,0
Bucks County WDA,2,15,42,4215000002,PA,2020,3,7,"July, 2020",1,340600,299600,40900,12,,,20200307,3202007,742,No,0
Central WDA,3,15,42,4215000003,PA,2020,3,7,"July, 2020",1,296300,266100,30200,10.2,,,20200307,3202007,743,No,0
Chester County WDA,4,15,42,4215000004,PA,2020,3,7,"July, 2020",1,277000,250800,26100,9.4,,,20200307,3202007,744,No,0
Delaware County WDA,5,15,42,4215000005,PA,2020,3,7,"July, 2020",1,298700,257700,41000,13.7,,,20200307,3202007,745,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2020,3,7,"July, 2020",1,104500,90800,13700,13.1,,,20200307,3202007,746,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2020,3,7,"July, 2020",1,282000,252100,30000,10.6,,,20200307,3202007,747,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2020,3,7,"July, 2020",1,353400,306100,47400,13.4,,,20200307,3202007,748,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2020,3,7,"July, 2020",1,225500,193800,31700,14.1,,,20200307,3202007,749,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2020,3,7,"July, 2020",1,447900,397800,50100,11.2,,,20200307,3202007,750,No,0
North Central WDA,11,15,42,4215000011,PA,2020,3,7,"July, 2020",1,82500,72100,10400,12.6,,,20200307,3202007,751,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2020,3,7,"July, 2020",1,82000,73000,9000,11,,,20200307,3202007,752,No,0
Northwest WDA,13,15,42,4215000013,PA,2020,3,7,"July, 2020",1,226100,197200,28900,12.8,,,20200307,3202007,753,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2020,3,7,"July, 2020",1,746900,607500,139400,18.7,,,20200307,3202007,754,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2020,3,7,"July, 2020",1,159900,136300,23600,14.7,,,20200307,3202007,755,No,0
South Central WDA,16,15,42,4215000016,PA,2020,3,7,"July, 2020",1,748000,666400,81600,10.9,,,20200307,3202007,756,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2020,3,7,"July, 2020",1,200200,174300,26000,13,,,20200307,3202007,757,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2020,3,7,"July, 2020",1,205700,177000,28700,13.9,,,20200307,3202007,758,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2020,3,7,"July, 2020",1,645000,557200,87800,13.6,,,20200307,3202007,759,No,0
Tri-County WDA,20,15,42,4215000020,PA,2020,3,7,"July, 2020",1,166400,146700,19700,11.8,,,20200307,3202007,760,No,0
West Central WDA,21,15,42,4215000021,PA,2020,3,7,"July, 2020",1,89200,77300,11900,13.4,,,20200307,3202007,761,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2020,3,7,"July, 2020",1,234100,202500,31500,13.5,,,20200307,3202007,762,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2020,3,7,"July, 2020",1,443600,386100,57500,13,,,20200307,3202007,763,No,0
"Altoona, PA MSA",11020,31,42,4231011020,PA,2020,3,7,"July, 2020",1,59400,52300,7200,12.1,,,20200307,3202007,764,No,0
"Bloomsburg-Berwick, PA MSA",14100,31,42,4231014100,PA,2020,3,7,"July, 2020",1,42600,38300,4300,10,,,20200307,3202007,765,No,0
"Chambersburg-Waynesboro, PA MSA",16540,31,42,4231016540,PA,2020,3,7,"July, 2020",1,77900,69400,8500,10.9,,,20200307,3202007,766,No,0
"East Stroudsburg, PA MSA",20700,31,42,4231020700,PA,2020,3,7,"July, 2020",1,82200,69000,13200,16.1,,,20200307,3202007,767,No,0
"Erie, PA MSA",21500,31,42,4231021500,PA,2020,3,7,"July, 2020",1,127900,110400,17500,13.7,,,20200307,3202007,768,No,0
"Gettysburg, PA MSA",23900,31,42,4231023900,PA,2020,3,7,"July, 2020",1,54300,49200,5100,9.3,,,20200307,3202007,769,No,0
"Harrisburg-Carlisle, PA MSA",25420,31,42,4231025420,PA,2020,3,7,"July, 2020",1,299100,266100,32900,11,,,20200307,3202007,770,No,0
"Johnstown, PA MSA",27780,31,42,4231027780,PA,2020,3,7,"July, 2020",1,56600,49300,7300,12.8,,,20200307,3202007,771,No,0
"Lancaster, PA MSA",29540,31,42,4231029540,PA,2020,3,7,"July, 2020",1,282000,252100,30000,10.6,,,20200307,3202007,772,No,0
"Lebanon, PA MSA",30140,31,42,4231030140,PA,2020,3,7,"July, 2020",1,72300,64200,8100,11.1,,,20200307,3202007,773,No,0
"Montgomery-Bucks-Chester, PA Metro Division",33874,31,42,4231033874,PA,2020,3,7,"July, 2020",1,1068100,950300,117700,11,,,20200307,3202007,774,No,0
"Philadelphia, PA Metro Division",37964,31,42,4231037964,PA,2020,3,7,"July, 2020",1,1047300,867700,179600,17.2,,,20200307,3202007,775,No,0
"Philadelphia, PA MSA - PA Part",37965,31,42,4231037965,PA,2020,3,7,"July, 2020",1,2112000,1811800,300200,14.2,,,20200307,3202007,776,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",37980,31,42,4231037980,PA,2020,3,7,"July, 2020",1,3142100,2732100,410000,13,,,20200307,3202007,777,No,0
"Pittsburgh, PA MSA",38300,31,42,4231038300,PA,2020,3,7,"July, 2020",1,1190200,1029800,160400,13.5,,,20200307,3202007,778,No,0
"Reading, PA MSA",39740,31,42,4231039740,PA,2020,3,7,"July, 2020",1,214100,185500,28600,13.3,,,20200307,3202007,779,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,31,42,4231042540,PA,2020,3,7,"July, 2020",1,275400,237000,38400,13.9,,,20200307,3202007,780,No,0
"State College, PA MSA",44300,31,42,4231044300,PA,2020,3,7,"July, 2020",1,76600,70400,6200,8.1,,,20200307,3202007,781,No,0
"Williamsport, PA MSA",48700,31,42,4231048700,PA,2020,3,7,"July, 2020",1,55700,49200,6500,11.7,,,20200307,3202007,782,No,0
"York-Hanover, PA MSA",49620,31,42,4231049620,PA,2020,3,7,"July, 2020",1,233600,207900,25700,11,,,20200307,3202007,783,No,0
United States,0,0,0,0,US,2020,3,8,"August, 2020",1,160818000,147276000,13542000,8.4,61.7,56.5,20200308,3202008,784,No,0
Pennsylvania,0,1,42,4201000000,PA,2020,3,8,"August, 2020",1,6252000,5614000,638000,10.2,60.9,54.6,20200308,3202008,785,No,0
Adams County,1,4,42,4204000001,PA,2020,3,8,"August, 2020",1,53900,50100,3800,7,,,20200308,3202008,786,No,0
Allegheny County,3,4,42,4204000003,PA,2020,3,8,"August, 2020",1,628800,564300,64500,10.3,,,20200308,3202008,787,No,0
Armstrong County,5,4,42,4204000005,PA,2020,3,8,"August, 2020",1,30900,27700,3200,10.4,,,20200308,3202008,788,No,0
Beaver County,7,4,42,4204000007,PA,2020,3,8,"August, 2020",1,81800,72600,9200,11.3,,,20200308,3202008,789,No,0
Bedford County,9,4,42,4204000009,PA,2020,3,8,"August, 2020",1,22700,20600,2100,9.2,,,20200308,3202008,790,No,0
Berks County,11,4,42,4204000011,PA,2020,3,8,"August, 2020",1,208900,187300,21600,10.4,,,20200308,3202008,791,No,0
Blair County,13,4,42,4204000013,PA,2020,3,8,"August, 2020",1,58200,53100,5100,8.7,,,20200308,3202008,792,No,0
Bradford County,15,4,42,4204000015,PA,2020,3,8,"August, 2020",1,27500,25300,2200,7.9,,,20200308,3202008,793,No,0
Bucks County,17,4,42,4204000017,PA,2020,3,8,"August, 2020",1,333100,303200,29900,9,,,20200308,3202008,794,No,0
Butler County,19,4,42,4204000019,PA,2020,3,8,"August, 2020",1,94800,87100,7700,8.1,,,20200308,3202008,795,No,0
Cambria County,21,4,42,4204000021,PA,2020,3,8,"August, 2020",1,55000,49800,5200,9.5,,,20200308,3202008,796,No,0
Cameron County,23,4,42,4204000023,PA,2020,3,8,"August, 2020",1,2000,1800,200,12.1,,,20200308,3202008,797,No,0
Carbon County,25,4,42,4204000025,PA,2020,3,8,"August, 2020",1,30800,27700,3100,10.1,,,20200308,3202008,798,No,0
Centre County,27,4,42,4204000027,PA,2020,3,8,"August, 2020",1,74800,70500,4400,5.9,,,20200308,3202008,799,No,0
Chester County,29,4,42,4204000029,PA,2020,3,8,"August, 2020",1,273800,255100,18700,6.8,,,20200308,3202008,800,No,0
Clarion County,31,4,42,4204000031,PA,2020,3,8,"August, 2020",1,16600,15300,1300,7.6,,,20200308,3202008,801,No,0
Clearfield County,33,4,42,4204000033,PA,2020,3,8,"August, 2020",1,34700,31400,3300,9.6,,,20200308,3202008,802,No,0
Clinton County,35,4,42,4204000035,PA,2020,3,8,"August, 2020",1,17400,15900,1500,8.7,,,20200308,3202008,803,No,0
Columbia County,37,4,42,4204000037,PA,2020,3,8,"August, 2020",1,33000,30400,2600,7.9,,,20200308,3202008,804,No,0
Crawford County,39,4,42,4204000039,PA,2020,3,8,"August, 2020",1,37700,34200,3400,9.1,,,20200308,3202008,805,No,0
Cumberland County,41,4,42,4204000041,PA,2020,3,8,"August, 2020",1,127800,118900,8900,7,,,20200308,3202008,806,No,0
Dauphin County,43,4,42,4204000043,PA,2020,3,8,"August, 2020",1,142200,128400,13800,9.7,,,20200308,3202008,807,No,0
Delaware County,45,4,42,4204000045,PA,2020,3,8,"August, 2020",1,291100,260600,30500,10.5,,,20200308,3202008,808,No,0
Elk County,47,4,42,4204000047,PA,2020,3,8,"August, 2020",1,14900,13000,1800,12.3,,,20200308,3202008,809,No,0
Erie County,49,4,42,4204000049,PA,2020,3,8,"August, 2020",1,125200,112100,13100,10.5,,,20200308,3202008,810,No,0
Fayette County,51,4,42,4204000051,PA,2020,3,8,"August, 2020",1,55500,48500,7000,12.6,,,20200308,3202008,811,No,0
Forest County,53,4,42,4204000053,PA,2020,3,8,"August, 2020",1,1800,1600,200,11,,,20200308,3202008,812,No,0
