Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Union,06/12/2021,0,1.3,6148,44923,0,2.9,13685.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Washington,07/12/2020,9,20,468,206865,4.4,9.7,226.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Mifflin,05/06/2020,2,1.7,49,46138,4.3,3.7,106.2,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Carbon,04/30/2020,4,3,181,64182,6.2,4.7,282,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Lehigh,04/13/2020,52,93.3,1807,369318,14.1,25.3,489.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Elk,05/13/2020,0,0,5,29910,0,0,16.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Forest,03/11/2020,0,0,0,7247,0,0,0,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lebanon,09/10/2020,11,8.1,1814,141793,7.8,5.7,1279.3,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Elk,10/16/2020,4,2.6,109,29910,13.4,8.6,364.4,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Cameron,05/19/2020,0,0,2,4447,0,0,45,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Cumberland,12/11/2020,243,175.9,7406,253370,95.9,69.4,2923,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Snyder,03/12/2021,9,4.4,3196,40372,22.3,11,7916.4,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Union,03/01/2020,0,,0,44923,0,,0,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,06/20/2021,1,4.1,11948,113299,0.9,3.7,10545.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Snyder,10/24/2020,4,4.3,491,40372,9.9,10.6,1216.2,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Bradford,12/03/2020,37,34.1,2155,60323,61.3,56.6,3572.4,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Forest,07/16/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Beaver,05/02/2021,19,35.9,14784,163929,11.6,21.9,9018.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,06/30/2021,4,1.6,20622,253370,1.6,0.6,8139.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Bucks,08/16/2020,21,31.6,7413,628270,3.3,5,1179.9,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
